"Sample";"Zone";"Profondeur";"Date";"Longitude";"Latitude";"RHO";"Recouvrement_Rhodolithes_video";"CaCO3";"LOI_550";"Mean";"Median";"Mode";"SD";"Variance";"CV";"Skewness";"Kurtosis";"d10";"d50";"d90";"pc_2";"pc_4";"pc_63";"pc_125";"pc_250";"pc_500";"pc_1000";"pc_2000";"pc_2500";"pc_4000";"min_bathy";"mean_bathy";"max_bathy";"min_ag";"mean_ag";"max_ag";"min_am";"mean_am";"max_am";"min_aq";"mean_aq";"max_aq";"min_co";"mean_co";"max_co";"min_er";"mean_er";"max_er";"min_in";"mean_in";"max_in";"min_mo_ais";"mean_mo_ais";"max_mo_ais";"min_mo_pp";"mean_mo_pp";"max_mo_pp";"min_pe";"mean_pe";"max_pe";"min_po";"mean_po";"max_po";"min_re";"mean_re";"max_re";"min_to";"mean_to";"max_to";"min_tm";"mean_tm";"max_tm";"p_mean_cum";"dist_land";"dist_ports"
"T1S0132";"Lelz";53.49;"2022-02-02";9.50641666666667;43.0084833333333;NA;"0";61.8528610354223;5.89624562260768;1206.51;1037.59;1908.93;883.506;780584;73.2286;2.06952;7.05839;354.547;1037.59;2099.88;0.198105;0.129321;0.998824;0.87051;2.91413;14.11131;28.872;40.917;4.9499;4.7123;-53.7810020446777;-53.3490642547607;-53.0630340576172;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.09028358458363e-08;1.32307604094883e-07;3.27830065316448e-07;0;0;0;0;0;0;0;0;0;0.0100402291864157;0.0102273510710802;0.0104209901764989;0.0102274833786843;3909.33609964904;6917.57249112139
"T1S0212";"Taverna";10.7;"2022-02-08";9.55426666666667;42.4524166666667;NA;"0";2.23152022315202;2.3261698628156;116.804;112.073;116.278;51.8475;2688.16;44.3884;0.936085;2.07297;60.454;112.073;173.474;0.152625;0.417935;10.28054;51.8987;33.9906;3.25960000000001;0;0;0;0;-11.3714752197266;-10.3629782994588;-9.22726631164551;0.581279635429382;0.601157134771347;0.623303174972534;0;0;0;0;0;0;0.123399905860424;0.132803010443846;0.145915254950523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0220267586410046;0.0377640801171462;0.0568083189427853;0.793187856674194;0.839244931936264;0.897307932376862;0;0;0;0.00174626975785941;0.00179823086752246;0.00184769660700113;1.61276738813613;1076.30573818461;12493.9594760124
"T1S0213";"Taverna";4.6;"2022-02-08";9.54778333333333;42.4525666666667;NA;"0";2.78940027894003;2.57002695598307;117.642;116.284;127.646;43.3747;1881.37;36.87;-0.0244279;0.191214;66.5569;116.284;174.422;0.697847;0.315083;7.57565;49.54832;41.7714;0.091700000000003;0;0;0;0;-5.08053255081177;-4.52769399458362;-4;0.788890600204468;0.809141312876055;0.829915523529053;0;0;0;0;0;0;0.203287735581398;0.214193480630075;0.22453573346138;0.106624871492386;0.142310896708119;0.184507295489311;0;0;0;0;0;0;0;0;0;0;0;0;0.20356073975563;0.227496061594256;0.251716375350952;0.456886678934097;0.481726439729814;0.515689492225647;0.138296961784363;0.162115715684429;0.188901141285896;0.00103226106148213;0.00109093554032546;0.001153041026555;2.03807484276307;573.525948701269;12471.011273351
"T1S0214";"Taverna";10.6;"2022-02-09";9.5543;42.4417333333333;NA;"0";2.51046025104602;2.73426515590106;107.74;106.053;116.278;40.4327;1634.8;37.528;0.0396627;0.12818;60.0303;106.053;160.84;0.563248;0.361438;10.446514;56.4981;32.1234;0.00730000000000075;0;0;0;0;-10.15549659729;-9.91470490183149;-9.19743156433105;0.544110953807831;0.560169363021851;0.576303362846375;0;0;0;0;0;0;0.247515276074409;0.256977574527264;0.265843987464905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0397875308990479;0.0530419922123353;0.0664395540952682;0.121132515370846;0.137310046950976;0.156472474336624;0;0;0;0.00171841215342283;0.00178676230522494;0.00184569542761892;1.00928573901765;1124.15979935054;11311.7271106762
"T1S0216";"Taverna";38.5;"2022-02-09";9.58516666666667;42.4508666666667;"1";"50-90%";50.7670850767085;8.34218038549555;1521.4;1500.21;2236.07;863.167;745057;56.735;0.161347;-0.522675;253.653;1500.21;2575.01;0.298194;0.457486;4.84123;1.93704;2.4143;3.95375;13.2117;44.7104;17.6495;10.5264;-38.5700645446777;-37.8754508726058;-37.2599601745605;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.01852911290242e-09;4.33033120472714e-09;0;0;0;0;0;0;0;0;0;0.000843066547531635;0.000857854188695826;0.000875340832863003;0.000857855207224939;3578.65031629448;12822.0656421182
"T1S0217";"Taverna";54.7;"2022-02-09";9.60125;42.4500333333333;"1";"50-90%";47.4198047419805;7.09060402684562;774.484;719.1;1197.69;555.31;308369;71.7006;0.422219;-0.673376;47.2352;719.1;1562.7;1.16225;1.24876;8.63489;3.8891;7.372;14.3561;29.0135;33.1158;1.2076;0;-56.7217102050781;-56.0941572518184;-55.4905662536621;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.57282071188092e-05;6.81423730081103e-05;6.99744705343619e-05;0;0;0;0;0;0;0;0;0;0.000638052180875093;0.000642294062223906;0.000648619083222002;0.000710436435232017;4900.3258621751;13184.0612396051
"T1S0218";"Taverna";79.9;"2022-02-09";9.6198;42.4492833333333;NA;"0";39.0516039051604;5.04431612166789;480.799;343.676;471.139;413.283;170802;85.9575;1.16612;0.696952;88.7354;343.676;1117.37;0.760719;0.567871;5.19047;10.85504;22.2577;23.5896;23.4332;13.3454;0;0;-82.6934204101562;-81.7379742940267;-80.8245086669922;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6427.83187580439;13770.8175676136
"T1S0270";"Aleria";80;"2022-02-10";9.60875;42.1266666666667;NA;"0";45.3333333333333;5.17776952425971;492.154;302.847;185.348;437.47;191380;88.8888;1.28257;0.71649;124.539;302.847;1219.82;0.655872;0.439318;3.47682;5.51859;32.7535;22.8359;18.7947;15.5253;0;0;-81.3814468383789;-80.3989944458008;-79.4108200073242;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4441.55887633417;24481.4915514691
"T1S0271";"Aleria";52.25;"2022-02-10";9.59066666666667;42.1304666666667;NA;"0";43.7333333333333;4.02880752523109;490.603;317.926;168.868;426.831;182185;87.0013;1.21669;0.620024;118.025;317.926;1178.1;0.49762;0.33411;3.0741;7.75097;30.6896;21.7964;20.8074;15.0498;0;0;-54.5517883300781;-53.3952789306641;-52.23876953125;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2925.20720064162;23760.7293442637
"T1S0272";"Aleria";22.23;"2022-02-10";9.57213333333333;42.1318;NA;"0";32.5333333333333;3.39915231431649;711.633;367.871;1908.93;790.016;624126;111.015;1.17902;0.704989;39.4822;367.871;1846.23;0.628548;0.366813;20.300439;17.047;7.2197;10.2693;12.5339;25.2664;3.59540000000001;2.77249999999999;-21.8464584350586;-21.1001207905431;-20.298412322998;0.0628372952342033;0.0732578098773956;0.0824163183569908;0;0;0;0;0;0;0.135952800512314;0.151143071552118;0.165508106350899;0;0;0;0;0;0;0;0;0;0;0;0;0.000233392493100837;0.000237163297909622;0.000240164925344288;0;0;0;0;0;0;0.0311628915369511;0.049785507346193;0.067947119474411;0.00246265437453985;0.00255153553249935;0.00262454315088689;0.276975087606115;1382.7972648347;23390.4856189206
